magnitude,cdi,nst,depth,latitude,longitude,Year,magType
7,8,117,14,-9.7963,159.596,2022,8
6.9,4,99,25,-4.9559,100.738,2022,8
7,3,147,579,-20.0508,-178.346,2022,8
7.3,5,149,37,-19.2918,-172.129,2022,8
6.6,0,131,624.464,-25.5948,178.278,2022,8
7,4,142,660,-26.0442,178.381,2022,6
6.8,1,136,630.379,-25.9678,178.363,2022,8
6.7,7,145,20,7.6712,-82.3396,2022,8
6.8,8,175,20,18.33,-102.913,2022,8
7.6,9,271,26.943,18.3667,-103.252,2022,8
6.9,9,215,10,23.1444,121.307,2022,8
6.5,7,178,10,23.029,121.348,2022,8
7,7,192,137,-21.2077,170.239,2022,8
7.6,8,272,116,-6.2237,146.471,2022,8
6.6,9,141,12,29.7263,102.279,2022,8
6.6,7,68,30,-32.6922,-178.959,2022,8
7,9,152,33.729,17.5978,120.809,2022,8
6.5,3,236,622.73,-9.0618,-71.1647,2022,8
7.2,7,144,236,-14.8628,-70.3081,2022,8
6.9,2,127,10,-54.1325,159.027,2022,8
6.8,6,162,220,-23.6141,-66.7236,2022,8
6.6,6,0,27,11.5538,-86.9919,2022,8
7,6,0,10,-22.5732,170.349,2022,8
6.9,6,0,10,-22.72,170.277,2022,8
6.7,8,0,24,23.3421,121.636,2022,8
7.3,9,0,41,37.7015,141.587,2022,8
6.7,9,0,28,-0.6831,98.6034,2022,8
6.6,2,0,24,-30.0528,-177.74,2022,8
6.8,2,0,535,-23.7852,-179.968,2022,8
6.5,8,0,110,-4.455,-76.9395,2022,8
6.5,7,0,8,-29.535,-176.729,2022,8
6.6,8,0,33,-6.9291,105.251,2022,8
6.5,0,97,37,52.502,-168.08,2022,0
6.5,0,23,37,52.502,-168.08,2022,0
6.6,8,0,19,52.6252,-168.15,2022,8
6.7,0,50,33,52.48,-167.736,2022,0
6.7,0,20,33,52.48,-167.736,2022,0
6.8,7,0,20,52.6563,-167.917,2022,8
6.6,6,0,21,35.1456,31.9095,2022,8
6.6,9,0,13,37.8167,101.299,2022,8
7.3,8,0,165.49,-7.5924,127.581,2021,8
7.3,9,0,14.27,-7.6033,122.2,2021,8
7.5,8,0,126,-4.4898,-76.8461,2021,8
