Earthquake_Magnitude,Ocean_Depth,Proximity_to_Plate_Boundary,Seafloor_Displacement,Coastal_Population_Density,Wave_Energy,Distance_from_Epicenter,Tsunami
8.2490802377,143.5928598333,0.7319939418,6.3879263578,240.4167763982,162.3978081345,29.0418060841,1
9.2323522915,98.1449515266,0.7080725778,1.1852604487,972.9188669458,432.9770563202,106.1695553391,1
7.8636499344,43.8425862809,0.304242243,5.7228078847,488.7505167779,216.4916560792,305.9264473612,1
7.7789877213,57.9788043096,0.3663618433,5.104629858,806.6583652537,179.8695128633,257.1172192068,1
8.6848291377,26.0385536536,0.6075448519,2.5347171132,158.5464336868,479.5542149013,482.8160165373,1
9.1167946962,59.5997899925,0.097672114,7.1580972386,496.1372443656,148.8152939379,247.5884550556,1
7.5687770422,138.2116522702,0.2587799816,6.9627005592,380.5399684805,308.0272084711,273.3551396716,1
7.8697089111,146.0460016094,0.7751328234,9.4554904741,905.3446153849,339.1599915244,460.9371175116,1
7.6769850041,45.4777721145,0.0452272889,3.9279729769,449.8095607205,208.5396127096,414.368754576,1
8.2135066534,56.5214862594,0.5426960832,2.2683180248,821.9772826786,129.8202574719,493.4434683003,1
9.0444895386,45.8330385994,0.0055221171,8.3391528561,736.1716094629,391.6028672164,385.635173343,1
7.6480893035,66.6005447108,0.1158690595,8.7679308329,660.9683141448,232.3592099411,31.779175143,1
8.1219646434,62.2738318635,0.7296061783,6.7380172422,898.4914683187,288.8859700648,59.7971229692,1
8.9264895744,118.9020563202,0.5612771976,7.9387046196,544.416036728,309.0931317528,213.7705091793,1
7.5508382535,34.0258855091,0.0314291857,6.7276937014,382.9203829687,303.4282764659,453.783236963,1
7.9985844583,73.3497799946,0.7555511385,3.0591834894,169.2819188459,215.9005811655,80.610643627,1
9.3593953047,125.0556493434,0.6334037565,8.8431453117,823.3048692092,174.6280235544,446.279499245,1
8.5786844838,124.9672201713,0.8960912999,3.8620312747,199.0467320749,191.1740650168,213.5538943131,1
9.1360295318,131.8949758233,0.0069521305,5.5967257232,475.6699028339,188.8431241883,59.9326836668,1
8.1752303428,142.5782615086,0.323202932,5.6691155957,732.7170630057,245.4518409517,485.8910413605,1
9.4248945899,52.7316984573,0.4972485059,3.7079047884,356.3564449397,114.7547789418,304.7821669899,1
8.5053580465,26.6922376625,0.2786464642,9.1743929737,315.6057016003,157.9579488365,244.7263801388,1
9.4713009082,51.4671852965,0.6721355474,7.854576538,313.8737895932,391.2865394447,183.8915663596,1
8.7646116612,102.3588623989,0.5357746841,1.8126079305,851.7722460303,228.3120259887,93.2592551999,1
7.5815502831,96.8160826145,0.6775643618,1.1492904604,560.8837524694,190.5983100792,322.5863952047,1
7.848732858,109.8219059533,0.3867353463,9.4305698986,223.7688497314,236.4265404201,56.7367606203,1
9.3493872366,134.0541159395,0.2579416277,6.9398564143,835.4999801811,322.0803246398,264.825289178,1
7.9837045818,32.1033598148,0.897215758,9.1037625145,669.7913115459,235.6119164195,174.6047873063,1
8.9519113577,136.6243337938,0.8870864243,8.0188799127,677.8284815389,133.655985998,80.8143570473,1
9.2971083771,98.8357777557,0.0091970516,1.9132438858,697.1515921973,102.0246335385,80.4040257087,1
8.5974675787,109.9463757001,0.6519612595,3.0184237851,740.9612992128,194.8996349987,162.6998490796,1
8.9929828102,104.4522768761,0.8492234105,6.9185160307,611.4777430019,137.4699071312,183.8579015297,1
8.0304047354,51.7186536393,0.9730105548,4.537879522,902.8418996594,352.4554503989,397.4056517708,1
8.5052741862,94.9975050014,0.4925176938,2.7571868902,750.2069037354,212.3089449763,12.1579832157,1
8.7909445918,43.0243883229,0.9404585844,9.585357193,923.3779511984,248.0634801022,7.7283082644,1
9.3566371252,75.6639392813,0.966654819,9.6725797938,867.7085099206,217.7795568278,192.548864301,1
9.202273343,61.1998606703,0.1694927467,6.0112113621,942.5392967447,378.41191867,285.0305850447,1
7.6943529875,99.9509394709,0.9900538501,2.2607561371,566.4966871274,450.9492287712,370.3843088771,1
8.894031482,111.3229309183,0.3594911512,3.6423265984,828.4250399307,424.0453578717,433.5361592901,1
9.3264811051,86.4745118519,0.5015162947,8.1846566107,684.9675377,380.7867509031,397.8963347181,1
9.2800106836,63.9393703907,0.3755829526,1.8458374586,620.4521268966,114.3769095187,232.7990090662,1
8.5852892694,57.2503627767,0.5908332606,1.2745022495,133.6133698743,429.0402242639,180.0953207056,1
7.7541210253,87.8916238071,0.7699935531,2.9423892475,660.6014282371,134.1389859975,25.8408605843,1
8.5627092631,90.2825658093,0.6374299015,7.5348220035,978.2668715163,306.5201393205,161.4782364706,1
9.0903723895,55.2081926641,0.4389714207,1.7061074321,122.8156690739,485.0593658712,417.9900602561,1
8.8919484122,73.1638827739,0.1732943201,2.407933384,325.2186083481,319.6906658824,357.29796135,1
8.8203947534,56.391406603,0.9548652807,7.6410722503,598.9186472603,344.6882984937,209.8000312139,1
7.995461979,66.2764482247,0.7578461105,1.1295413977,204.4653764562,118.4010568087,20.3644011595,1
9.210921168,111.4755217194,0.4741738291,1.8805074459,542.4542876052,289.3887083122,86.600934955,1
8.3677032985,71.8056154717,0.6158500981,6.7158428578,140.7736087948,249.8450458506,312.9299578571,1
8.5062725172,131.3436793545,0.6586936316,2.4664098437,163.5118726604,356.9677112825,13.2556552708,1
8.6715511625,142.2299313852,0.5754741779,4.4935293359,678.9593965981,283.3011561966,272.808394658,1
9.3829296176,70.1933429141,0.9611905638,9.1481557776,276.2120213104,127.7445203501,50.3890006887,1
7.5364436513,32.2775848983,0.6830067734,1.6406978361,387.0780672644,437.9501243878,11.6359678679,1
9.1289369652,56.6411207205,0.1181648276,7.2706344883,666.0485621019,450.9888054108,367.5355219019,1
9.1069618608,56.6644944343,0.1774395438,7.7555327648,826.1512653405,496.2020568003,206.3088384557,1
8.2440361716,120.9336848965,0.3408035403,9.3768159304,872.5714766587,271.59761095,375.4355338957,1
9.0090857482,33.4061029487,0.9025529067,5.547271352,843.811719497,228.0198404122,447.7616142481,1
8.2784033575,21.4088946924,0.9053819764,1.8215800911,387.3822738314,480.0247868203,475.3035734688,1
8.6468757762,102.1388375821,0.448445522,3.6388969453,395.7980908329,369.0073824308,376.1872647188,1
9.0831580875,122.6503585633,0.091206103,5.4497827423,151.802884015,319.8115529295,220.7652506867,1
9.2754083655,65.6189516318,0.1170670164,2.2869251385,785.3595685457,347.2872253265,50.5613380614,1
7.6682136122,111.1259870897,0.0727630064,8.3967405336,735.6180044408,132.5395122568,42.4188570426,1
9.473279157,68.6552034483,0.3706421471,8.3151961053,952.5237196455,494.4004255291,376.6890926295,1
8.2525191711,30.8550931708,0.7771469159,6.0256382476,481.7998083223,462.5417540379,55.5987411531,1
8.4852502086,21.4759738198,0.468660642,1.5067294811,206.9361246413,147.0104987108,324.605151058,1
8.9920897585,95.8379394626,0.9621725485,4.3738352157,357.1408776537,447.4396512758,111.7979192597,1
9.4264450789,21.5800817097,0.9698788267,1.3884392076,902.0288023283,311.0804436345,496.4823980597,1
7.6475931295,92.0010569722,0.9693025356,5.7078805975,666.4587743217,378.2994755938,227.2705323839,1
8.7551161602,95.96086055,0.9011580105,1.4090174231,352.866870633,480.1645936306,445.1318919455,1
8.4113135056,100.6172377142,0.277381183,2.6930904375,517.328564446,241.3408912104,291.8280559254,1
7.6554692739,146.6713249966,0.9862107445,7.2834554262,582.4867297097,223.8110465145,406.8975098535,1
8.8694623451,41.1402021148,0.9109271845,8.4028351863,954.8199219627,390.2878033553,306.7075979679,1
8.3364860726,141.254702836,0.8660638895,1.406968031,123.7302770475,250.5853467512,405.2766653909,1
9.4745522586,39.5541958435,0.5941307154,4.4280177097,972.9229580331,436.8475692543,419.1643523556,1
8.4373863196,73.9265353039,0.2734070719,1.5073794699,878.2501386295,425.160403652,499.8588366431,1
9.4932736741,92.2061217283,0.7689874152,9.5028915689,864.6826516097,198.9392406973,225.272067655,1
7.7583188303,144.0266335436,0.6061746345,3.0577852495,704.5306159653,347.2512961832,179.0813590164,1
7.7271151844,107.3045154271,0.5203077009,7.9508655256,568.1471510008,440.8726001274,275.9534193872,1
8.6218759431,133.9649683456,0.4034828662,2.2061370561,125.904408682,402.0549022694,310.1547756767,1
8.9081595362,47.6853409962,0.1363714756,1.130901991,415.5288029259,335.9670747419,196.1220225499,1
8.374949844,137.5406302842,0.348255467,5.6259054024,805.287711467,258.6171129285,311.0433501139,1
9.2247274175,143.4376810755,0.1470734809,9.3392886265,542.9046637716,203.2977553196,229.5678781191,1
9.4600651506,84.0403522191,0.3287516103,6.7006076889,316.1310569004,130.3453312435,64.4398609553,1
7.7560916779,39.7473501566,0.1388271726,6.7678727032,263.6920759592,238.2669133295,448.394204953,1
8.4479232805,106.7825060077,0.1723198712,2.7306011693,136.7817546398,167.5740252289,139.295169516,1
7.8540209686,31.5313293884,0.1206358711,5.1470089123,285.7003465652,245.7079444192,251.7086354274,1
8.8807896573,25.1105781793,0.7994103989,6.6511035054,173.583128754,449.4314496427,460.4362002659,1
7.6221559197,55.9940942591,0.8062012798,7.7343372135,266.0689174207,183.7397293347,185.2360513957,1
8.4690459704,100.3731202989,0.3689136396,5.1628124452,772.7238443204,114.6732811562,126.218472172,1
8.9266991718,136.3768888993,0.5116774421,5.7890213674,196.4548102058,278.9649467294,266.3086332275,1
7.9849410073,55.0016200234,0.3772841631,1.18064078,389.8712490249,184.5792027986,163.748676089,1
7.7395242636,135.7685464962,0.5935924536,7.1119208723,810.2541147466,299.3768795716,43.4601440437,1
8.5742130836,96.2893453427,0.7454394742,4.8849359161,214.822272516,213.5103623195,181.5411481993,1
8.7918344827,94.201179607,0.3560967259,9.8786372391,645.1973374212,194.8907166944,50.8912363102,1
