Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather,Year,Month,Day
-1.8,-3.9,86,4.0,22.750000000000004,101.24,3,2012,1,1
-1.8,-3.7,87,4.0,22.750000000000004,101.24,3,2012,1,1
-1.8,-3.4,89,7.0,22.750000000000004,101.26,3,2012,1,1
-1.5,-3.2,88,6.0,22.750000000000004,101.27,3,2012,1,1
-1.5,-3.3,88,7.0,22.750000000000004,101.23,3,2012,1,1
-1.4,-3.3,87,9.0,22.750000000000004,101.27,3,2012,1,1
-1.5,-3.1,89,7.0,22.750000000000004,101.29,3,2012,1,1
-1.4,-3.6,85,7.0,22.750000000000004,101.26,3,2012,1,1
-1.4,-3.6,85,9.0,22.750000000000004,101.23,3,2012,1,1
-1.3,-3.1,88,15.0,22.750000000000004,101.2,3,2012,1,1
-1.0,-2.3,91,9.0,22.750000000000004,101.15,3,2012,1,1
-0.5,-2.1,89,7.0,22.750000000000004,100.98,3,2012,1,1
-0.2,-2.0,88,9.0,22.750000000000004,100.79,3,2012,1,1
0.2,-1.7,87,13.0,22.750000000000004,100.58,3,2012,1,1
0.8,-1.1,87,20.0,22.750000000000004,100.31,3,2012,1,1
1.8,-0.4,85,22.0,22.750000000000004,100.07,3,2012,1,1
2.6,-0.2,82,13.0,22.750000000000004,99.93,1,2012,1,1
3.0,0.0,81,13.0,22.750000000000004,99.81,1,2012,1,1
3.8,1.0,82,15.0,22.750000000000004,99.74,5,2012,1,1
3.1,1.3,88,15.0,22.750000000000004,99.68,5,2012,1,1
3.2,1.3,87,19.0,25.0,99.5,1,2012,1,1
4.0,1.7,85,20.0,25.0,99.39,1,2012,1,1
4.4,1.9,84,24.0,22.750000000000004,99.32,5,2012,1,1
5.3,2.0,79,30.0,25.0,99.31,1,2012,1,1
5.2,1.5,77,35.0,25.0,99.26,5,2012,1,2
4.6,0.0,72,36.5,25.0,99.26,1,2012,1,2
3.9,-0.9,71,32.0,25.0,99.26,1,2012,1,2
3.7,-1.5,69,33.0,25.0,99.3,1,2012,1,2
2.9,-2.3,69,32.0,25.0,99.26,1,2012,1,2
2.6,-2.3,70,32.0,25.0,99.21,1,2012,1,2
2.3,-2.6,70,26.0,25.0,99.18,1,2012,1,2
2.0,-2.9,70,33.0,25.0,99.14,1,2012,1,2
1.9,-3.3,68,36.5,24.1,99.14,1,2012,1,2
1.8,-3.7,67,36.5,24.1,99.14,1,2012,1,2
1.5,-4.1,66,36.5,24.1,99.18,1,2012,1,2
2.2,-3.5,66,30.0,24.1,99.19,1,2012,1,2
1.7,-6.2,56,36.5,24.1,99.21,0,2012,1,2
1.1,-6.5,57,36.5,24.1,99.27,1,2012,1,2
1.1,-6.8,56,33.0,24.1,99.33,1,2012,1,2
0.0,-7.0,59,33.0,24.1,99.41,1,2012,1,2
-0.7,-8.7,55,24.0,24.1,99.5,1,2012,1,2
-2.1,-9.5,57,22.0,25.0,99.66,6,2012,1,2
-4.1,-11.4,57,28.0,25.0,99.86,1,2012,1,2
-4.8,-12.1,57,24.0,25.0,100.0,1,2012,1,2
-5.6,-13.4,54,24.0,25.0,100.07,6,2012,1,2
-5.8,-12.8,58,26.0,25.0,100.15,6,2012,1,2
-7.0,-14.7,54,20.0,25.0,100.26,1,2012,1,2
-7.4,-14.1,59,17.0,22.750000000000004,100.27,6,2012,1,2
-9.0,-16.0,57,28.0,25.0,100.35,6,2012,1,3
-9.7,-17.2,54,20.0,25.0,100.43,1,2012,1,3
-10.5,-15.8,65,22.0,22.750000000000004,100.53,6,2012,1,3
-11.3,-18.7,54,33.0,25.0,100.61,6,2012,1,3
-12.6,-20.1,53,24.0,25.0,100.68,1,2012,1,3
-12.9,-19.1,60,22.0,25.0,100.76,6,2012,1,3
-13.3,-19.3,61,19.0,25.0,100.85,6,2012,1,3
-14.0,-19.5,63,19.0,25.0,100.95,6,2012,1,3
-14.8,-21.3,58,26.0,24.1,101.07,1,2012,1,3
-15.0,-21.9,56,19.0,24.1,101.2,1,2012,1,3
-15.3,-22.2,56,24.0,24.1,101.29,1,2012,1,3
-14.9,-22.2,54,22.0,24.1,101.33,1,2012,1,3
-14.9,-22.6,52,20.0,24.1,101.34,0,2012,1,3
-15.1,-22.4,54,22.0,24.1,101.34,0,2012,1,3
-14.9,-22.9,50,22.0,24.1,101.38,0,2012,1,3
-14.8,-22.2,53,19.0,24.1,101.44,0,2012,1,3
-15.3,-22.9,52,22.0,24.1,101.51,0,2012,1,3
-15.8,-23.2,53,22.0,24.1,101.58,0,2012,1,3
-16.3,-23.8,52,24.0,25.0,101.64,0,2012,1,3
-16.9,-24.8,50,24.0,25.0,101.74,0,2012,1,3
-17.3,-25.4,49,24.0,25.0,101.82,0,2012,1,3
-17.0,-24.6,52,15.0,25.0,101.86,1,2012,1,3
-17.1,-24.6,52,20.0,25.0,101.86,1,2012,1,3
-17.3,-24.2,55,17.0,25.0,101.87,1,2012,1,3
-17.5,-24.2,56,13.0,25.0,101.88,1,2012,1,4
-17.9,-24.1,58,11.0,25.0,101.86,0,2012,1,4
-18.1,-23.8,61,15.0,25.0,101.89,0,2012,1,4
-18.5,-24.6,59,13.0,25.0,101.88,0,2012,1,4
-18.5,-24.6,59,13.0,25.0,101.82,0,2012,1,4
-18.6,-24.0,62,9.0,25.0,101.77,0,2012,1,4
-18.5,-24.1,61,11.0,25.0,101.74,1,2012,1,4
-18.2,-24.1,60,11.0,25.0,101.75,1,2012,1,4
-17.8,-24.2,57,17.0,24.1,101.73,1,2012,1,4
-16.8,-22.5,61,9.0,24.1,101.68,1,2012,1,4
-15.2,-20.6,63,7.0,24.1,101.54,1,2012,1,4
-14.2,-21.1,56,13.0,24.1,101.41,1,2012,1,4
-13.7,-21.7,51,11.0,24.1,101.25,6,2012,1,4
-12.4,-20.1,53,11.0,24.1,101.07,1,2012,1,4
-11.3,-19.0,53,7.0,22.750000000000004,100.97,6,2012,1,4
-10.2,-16.3,61,11.0,22.750000000000004,100.89,6,2012,1,4
-9.4,-15.5,61,13.0,22.750000000000004,100.79,6,2012,1,4
-8.9,-13.2,71,9.0,22.750000000000004,100.76,6,2012,1,4
-8.9,-12.6,75,11.0,22.750000000000004,100.69,6,2012,1,4
-8.4,-12.7,71,9.0,22.750000000000004,100.65,6,2012,1,4
-7.8,-12.1,71,9.0,22.750000000000004,100.61,6,2012,1,4
-7.6,-11.6,73,7.0,22.750000000000004,100.54,6,2012,1,4
-9.5,-12.7,77,6.0,22.750000000000004,100.5,6,2012,1,4
-9.6,-12.6,79,6.0,22.750000000000004,100.42,6,2012,1,4
-8.8,-11.7,79,4.0,22.750000000000004,100.32,6,2012,1,5
-7.5,-10.2,81,0.0,22.750000000000004,100.29,6,2012,1,5
-5.4,-8.3,80,9.0,22.750000000000004,100.28,6,2012,1,5
-5.0,-7.7,81,11.0,22.750000000000004,100.24,6,2012,1,5
-4.1,-6.5,83,9.0,22.750000000000004,100.21,6,2012,1,5
-7.0,-9.5,82,4.0,22.750000000000004,100.19,6,2012,1,5
-8.2,-10.7,82,6.0,22.750000000000004,100.26,6,2012,1,5
-7.1,-9.7,82,9.0,22.750000000000004,100.31,6,2012,1,5
-6.1,-9.1,79,11.0,22.750000000000004,100.39,6,2012,1,5
-6.6,-10.1,76,9.0,24.1,100.42,0,2012,1,5
-6.0,-10.0,73,17.0,26.349999999999998,100.45,0,2012,1,5
-5.6,-10.2,70,22.0,26.349999999999998,100.41,0,2012,1,5
-4.7,-9.6,69,20.0,26.349999999999998,100.38,0,2012,1,5
-4.4,-9.7,66,26.0,26.349999999999998,100.4,0,2012,1,5
-5.1,-10.7,65,22.0,26.349999999999998,100.46,0,2012,1,5
-4.3,-12.0,55,26.0,26.349999999999998,100.52,0,2012,1,5
-5.0,-12.7,55,19.0,24.1,100.6,0,2012,1,5
-6.7,-14.1,56,11.0,25.0,100.65,0,2012,1,5
-7.1,-14.4,56,11.0,25.0,100.71,0,2012,1,5
-9.2,-15.4,61,7.0,25.0,100.8,0,2012,1,5
-9.8,-15.7,62,9.0,25.0,100.83,0,2012,1,5
-9.0,-14.8,63,13.0,25.0,100.83,0,2012,1,5
-9.9,-15.7,63,7.0,25.0,100.85,1,2012,1,5
-9.4,-15.5,61,9.0,25.0,100.83,1,2012,1,5
-9.6,-16.8,56,13.0,25.0,100.81,1,2012,1,6
-10.0,-17.3,55,17.0,25.0,100.81,1,2012,1,6
-10.5,-16.5,61,9.0,25.0,100.84,1,2012,1,6
-10.6,-16.0,64,0.0,22.750000000000004,100.76,6,2012,1,6
-11.3,-16.1,68,15.0,22.750000000000004,100.7,6,2012,1,6
-11.8,-16.0,71,19.0,22.750000000000004,100.61,6,2012,1,6
-12.0,-16.2,71,22.0,22.750000000000004,100.58,6,2012,1,6
-14.4,-16.3,85,22.0,22.750000000000004,100.52,6,2012,1,6
-12.3,-16.2,73,24.0,22.750000000000004,100.51,6,2012,1,6
-12.5,-16.7,71,26.0,22.750000000000004,100.53,6,2012,1,6
-12.3,-16.3,72,28.0,22.750000000000004,100.47,6,2012,1,6
-12.0,-16.0,72,17.0,24.1,100.36,6,2012,1,6
-11.7,-15.4,74,28.0,22.750000000000004,100.23,6,2012,1,6
-11.9,-15.6,74,20.0,24.1,100.13,6,2012,1,6
-11.2,-14.8,75,19.0,22.750000000000004,100.07,6,2012,1,6
-11.5,-14.4,79,19.0,22.750000000000004,100.06,6,2012,1,6
-11.6,-14.7,78,19.0,22.750000000000004,100.1,6,2012,1,6
-11.2,-14.3,78,17.0,25.0,100.15,6,2012,1,6
-10.5,-13.6,78,17.0,22.750000000000004,100.12,1,2012,1,6
-10.5,-13.4,79,15.0,25.0,100.13,1,2012,1,6
-10.2,-13.0,80,11.0,25.0,100.15,1,2012,1,6
-9.5,-12.5,79,9.0,25.0,100.13,1,2012,1,6
-9.3,-12.2,79,11.0,22.750000000000004,100.16,1,2012,1,6
-9.0,-12.0,79,7.0,22.750000000000004,100.15,1,2012,1,6
-8.7,-11.7,79,6.0,22.750000000000004,100.13,1,2012,1,7
-8.5,-11.4,80,0.0,22.750000000000004,100.11,1,2012,1,7
-8.1,-11.1,79,4.0,22.750000000000004,100.15,1,2012,1,7
-7.8,-10.8,79,4.0,22.750000000000004,100.12,1,2012,1,7
-7.5,-10.5,79,6.0,22.750000000000004,100.1,1,2012,1,7
-6.9,-9.7,80,4.0,22.750000000000004,100.12,1,2012,1,7
-6.7,-9.5,80,7.0,22.750000000000004,100.12,1,2012,1,7
-7.0,-9.7,81,7.0,22.750000000000004,100.16,1,2012,1,7
-6.4,-9.0,82,9.0,22.750000000000004,100.1,3,2012,1,7
-6.1,-8.7,82,7.0,22.750000000000004,100.15,3,2012,1,7
-5.7,-8.0,84,7.0,22.750000000000004,100.13,5,2012,1,7
-5.4,-7.7,84,9.0,22.750000000000004,100.08,2,2012,1,7
-5.5,-7.8,84,13.0,22.750000000000004,100.05,2,2012,1,7
-4.8,-7.2,83,15.0,22.750000000000004,100.07,5,2012,1,7
-4.4,-6.9,83,6.0,22.750000000000004,100.09,6,2012,1,7
-3.7,-6.1,83,11.0,22.750000000000004,100.09,6,2012,1,7
-3.6,-5.9,84,0.0,22.750000000000004,100.15,6,2012,1,7
-3.1,-5.4,84,13.0,22.750000000000004,100.27,6,2012,1,7
-3.2,-5.3,85,6.0,22.750000000000004,100.33,6,2012,1,7
-3.0,-5.0,86,6.0,22.750000000000004,100.41,6,2012,1,7
-1.8,-3.7,87,4.0,22.750000000000004,100.48,6,2012,1,7
-1.3,-3.1,88,0.0,22.750000000000004,100.5,6,2012,1,7
-1.5,-3.0,89,4.0,22.750000000000004,100.54,3,2012,1,7
0.4,-1.5,87,22.0,22.750000000000004,100.62,6,2012,1,7
0.6,-3.2,76,32.0,25.0,100.72,1,2012,1,8
-0.6,-4.6,74,32.0,25.0,100.8,1,2012,1,8
-1.7,-6.2,71,30.0,25.0,100.98,1,2012,1,8
-3.5,-8.3,69,32.0,25.0,101.13,0,2012,1,8
-4.4,-9.2,69,22.0,25.0,101.21,0,2012,1,8
-5.9,-10.5,70,13.0,25.0,101.33,0,2012,1,8
-5.8,-10.8,68,13.0,25.0,101.47,1,2012,1,8
-5.6,-10.3,69,11.0,25.0,101.59,1,2012,1,8
-5.9,-10.7,69,11.0,24.1,101.7,6,2012,1,8
-6.4,-11.9,65,17.0,24.1,101.81,6,2012,1,8
-6.5,-11.6,67,17.0,22.750000000000004,101.89,6,2012,1,8
-7.1,-12.6,65,22.0,24.1,101.92,6,2012,1,8
-6.7,-11.9,66,15.0,24.1,101.9,6,2012,1,8
-6.5,-12.4,63,15.0,24.1,101.94,1,2012,1,8
-6.5,-12.0,65,19.0,24.1,101.97,1,2012,1,8
-6.6,-12.9,61,20.0,26.349999999999998,102.04,1,2012,1,8
-6.6,-13.3,59,20.0,24.1,102.09,1,2012,1,8
-7.2,-13.8,59,17.0,25.0,102.17,0,2012,1,8
-8.1,-14.1,62,17.0,25.0,102.23,0,2012,1,8
-8.0,-13.9,62,15.0,25.0,102.26,1,2012,1,8
-8.3,-13.7,65,15.0,25.0,102.28,1,2012,1,8
